Portal,updated_at,name,plan_type,effective_price
Falabella,2025-08-01 02:00:02,Bci,Full Cobertura,44223.0
Falabella,2025-08-01 02:00:02,Cardif,Full Cobertura,34510.0
Falabella,2025-08-01 02:00:02,Consorcio,Full Cobertura,32429.0
Falabella,2025-08-01 02:00:02,Fid,Full Cobertura,33155.0
Falabella,2025-08-01 02:00:02,Hdi,Full Cobertura,31090.0
Falabella,2025-08-01 02:00:02,Sura,Full Cobertura,30178.0
Falabella,2025-08-01 02:00:02,Zenit,Full Cobertura,40635.0
Falabella,2025-08-01 02:00:02,Zurich,Full Cobertura,27886.0
Falabella,2025-08-01 02:30:02,Bci,Full Cobertura,44223.0
Falabella,2025-08-01 02:30:02,Cardif,Full Cobertura,30853.0
Falabella,2025-08-01 02:30:02,Consorcio,Full Cobertura,32429.0
Falabella,2025-08-01 02:30:02,Fid,Full Cobertura,33155.0
Falabella,2025-08-01 02:30:02,Hdi,Full Cobertura,31090.0
Falabella,2025-08-01 02:30:02,Sura,Full Cobertura,30178.0
Falabella,2025-08-01 02:30:02,Zenit,Full Cobertura,40635.0
Falabella,2025-08-01 02:30:02,Zurich,Full Cobertura,27886.0
Falabella,2025-08-01 03:00:02,Bci,Full Cobertura,44223.0
Falabella,2025-08-01 03:00:02,Cardif,Full Cobertura,30853.0
Falabella,2025-08-01 03:00:02,Consorcio,Full Cobertura,32429.0
Falabella,2025-08-01 03:00:02,Hdi,Full Cobertura,31090.0
Falabella,2025-08-01 03:00:02,Sura,Full Cobertura,30178.0
Falabella,2025-08-01 03:00:02,Zenit,Full Cobertura,40635.0
Falabella,2025-08-01 03:00:02,Zurich,Full Cobertura,27886.0
Falabella,2025-08-01 03:30:02,Bci,Full Cobertura,47382.0
Falabella,2025-08-01 03:30:02,Cardif,Full Cobertura,30853.0
Falabella,2025-08-01 03:30:02,Consorcio,Full Cobertura,37418.0
Falabella,2025-08-01 03:30:02,Fid,Full Cobertura,33155.0
Falabella,2025-08-01 03:30:02,Hdi,Full Cobertura,35873.0
Falabella,2025-08-01 03:30:02,Sura,Full Cobertura,34820.0
Falabella,2025-08-01 03:30:02,Zenit,Full Cobertura,43538.0
Falabella,2025-08-01 03:30:02,Zurich,Full Cobertura,32176.0
Falabella,2025-08-01 04:00:02,Bci,Full Cobertura,47382.0
Falabella,2025-08-01 04:00:02,Cardif,Full Cobertura,30853.0
Falabella,2025-08-01 04:00:02,Consorcio,Full Cobertura,37418.0
Falabella,2025-08-01 04:00:02,Fid,Full Cobertura,33155.0
Falabella,2025-08-01 04:00:02,Hdi,Full Cobertura,35873.0
Falabella,2025-08-01 04:00:02,Sura,Full Cobertura,34820.0
Falabella,2025-08-01 04:00:02,Zenit,Full Cobertura,43538.0
Falabella,2025-08-01 04:00:02,Zurich,Full Cobertura,32176.0
Falabella,2025-08-01 04:30:01,Bci,Full Cobertura,47382.0
