alert_type,severity,portal,insurer,fired_at,run_id,value,threshold,detail,alert_id,acknowledged
price_spike,critical,Falabella,Bci,2025-08-14 21:30:01,676,63.41,30.0,Bci on Falabella: 32397 → 52939 (+63.4%),1,False
price_spike,critical,Falabella,Bci,2025-08-25 21:30:01,1199,36.18,30.0,Bci on Falabella: 35678 → 48586 (+36.2%),2,False
price_drop,critical,Falabella,Bci,2025-08-25 22:30:02,1201,-38.81,-30.0,Bci on Falabella: 48586 → 29732 (-38.8%),3,False
price_spike,critical,Falabella,Cardif,2025-08-14 21:30:01,676,32.24,30.0,Cardif on Falabella: 17015 → 22501 (+32.2%),4,False
price_spike,critical,Falabella,Consorcio,2025-08-14 21:30:01,676,63.3,30.0,Consorcio on Falabella: 21393 → 34934 (+63.3%),5,False
price_spike,critical,Falabella,Consorcio,2025-08-25 21:30:01,1199,36.08,30.0,Consorcio on Falabella: 25753 → 35045 (+36.1%),6,False
price_drop,critical,Falabella,Consorcio,2025-08-25 22:30:02,1201,-38.76,-30.0,Consorcio on Falabella: 35045 → 21461 (-38.8%),7,False
price_spike,critical,Falabella,Fid,2025-08-10 21:30:01,484,33.33,30.0,Fid on Falabella: 33126 → 44168 (+33.3%),8,False
price_drop,critical,Falabella,Fid,2025-08-11 05:30:02,500,-40.0,-30.0,Fid on Falabella: 44181 → 26509 (-40.0%),9,False
price_spike,critical,Falabella,Fid,2025-08-14 21:30:01,676,100.0,30.0,Fid on Falabella: 22093 → 44186 (+100.0%),10,False
price_drop,critical,Falabella,Fid,2025-08-15 05:30:02,692,-40.0,-30.0,Fid on Falabella: 44199 → 26520 (-40.0%),11,False
price_spike,critical,Falabella,Fid,2025-08-25 21:30:01,1199,62.73,30.0,Fid on Falabella: 28267 → 45998 (+62.7%),12,False
price_drop,critical,Falabella,Fid,2025-08-25 22:30:02,1201,-48.79,-30.0,Fid on Falabella: 45998 → 23556 (-48.8%),13,False
price_drop,critical,Falabella,Hdi,2025-08-11 05:30:02,500,-31.17,-30.0,Hdi on Falabella: 44148 → 30385 (-31.2%),14,False
price_spike,critical,Falabella,Hdi,2025-08-14 21:30:01,676,74.35,30.0,Hdi on Falabella: 25343 → 44186 (+74.4%),15,False
price_drop,critical,Falabella,Hdi,2025-08-15 05:30:02,692,-31.17,-30.0,Hdi on Falabella: 44199 → 30420 (-31.2%),16,False
price_spike,critical,Falabella,Hdi,2025-08-25 21:30:01,1199,46.89,30.0,Hdi on Falabella: 26675 → 39183 (+46.9%),17,False
price_drop,critical,Falabella,Hdi,2025-08-25 22:30:02,1201,-43.27,-30.0,Hdi on Falabella: 39183 → 22229 (-43.3%),18,False
price_drop,critical,Falabella,Sura,2025-08-11 05:30:02,500,-34.91,-30.0,Sura on Falabella: 46530 → 30287 (-34.9%),19,False
