portal,insurer,dow,changes
Falabella,Bci,0,8
Falabella,Bci,1,6
Falabella,Bci,2,6
Falabella,Bci,3,11
Falabella,Bci,4,7
Falabella,Bci,5,5
Falabella,Bci,6,5
Falabella,Cardif,0,9
Falabella,Cardif,1,10
Falabella,Cardif,2,8
Falabella,Cardif,3,9
Falabella,Cardif,4,9
Falabella,Cardif,5,7
Falabella,Cardif,6,7
Falabella,Consorcio,0,7
Falabella,Consorcio,1,5
Falabella,Consorcio,2,7
Falabella,Consorcio,3,7
Falabella,Consorcio,4,7
Falabella,Consorcio,5,6
Falabella,Consorcio,6,4
Falabella,Fid,0,27
Falabella,Fid,1,32
Falabella,Fid,2,35
Falabella,Fid,3,39
Falabella,Fid,4,40
Falabella,Fid,5,38
Falabella,Fid,6,22
Falabella,Hdi,0,9
Falabella,Hdi,1,5
Falabella,Hdi,2,5
Falabella,Hdi,3,6
Falabella,Hdi,4,6
Falabella,Hdi,5,5
Falabella,Hdi,6,5
Falabella,Sura,0,48
Falabella,Sura,1,47
Falabella,Sura,2,50
Falabella,Sura,3,52
Falabella,Sura,4,63
Falabella,Sura,5,48
Falabella,Sura,6,52
Falabella,Zenit,0,5
Falabella,Zenit,1,3
Falabella,Zenit,2,4
Falabella,Zenit,3,9
Falabella,Zenit,4,5
Falabella,Zenit,5,3
Falabella,Zenit,6,4
Falabella,Zurich,0,7
Falabella,Zurich,1,5
Falabella,Zurich,2,5
Falabella,Zurich,3,10
Falabella,Zurich,4,6
Falabella,Zurich,5,5
Falabella,Zurich,6,9
Santander,Consorcio,0,5
Santander,Consorcio,1,4
Santander,Consorcio,2,4
Santander,Consorcio,3,4
Santander,Consorcio,4,6
Santander,Consorcio,5,8
Santander,Consorcio,6,4
Santander,Fid,0,23
Santander,Fid,1,38
Santander,Fid,2,34
Santander,Fid,3,37
Santander,Fid,4,37
Santander,Fid,5,36
Santander,Fid,6,21
Santander,Hdi,0,5
Santander,Hdi,1,4
Santander,Hdi,2,4
Santander,Hdi,3,4
Santander,Hdi,4,5
Santander,Hdi,5,5
Santander,Hdi,6,4
Santander,Mapfre,0,4
Santander,Mapfre,1,4
Santander,Mapfre,2,4
Santander,Mapfre,3,4
Santander,Mapfre,4,5
Santander,Mapfre,5,5
Santander,Mapfre,6,4
Santander,REALE,0,2
Santander,REALE,1,2
Santander,REALE,2,2
Santander,REALE,3,2
Santander,REALE,4,3
Santander,REALE,5,2
Santander,REALE,6,2
Santander,Sura,0,4
Santander,Sura,1,6
Santander,Sura,2,5
Santander,Sura,3,4
Santander,Sura,4,6
Santander,Sura,5,5
Santander,Sura,6,4
Santander,Zenit,0,6
Santander,Zenit,1,4
Santander,Zenit,2,4
Santander,Zenit,3,4
Santander,Zenit,4,5
Santander,Zenit,5,5
Santander,Zenit,6,4
Santander,Zurich,0,10
Santander,Zurich,1,5
Santander,Zurich,2,5
Santander,Zurich,3,4
Santander,Zurich,4,5
Santander,Zurich,5,5
Santander,Zurich,6,4
