portal,insurer,dow,hour,changes
Falabella,Bci,0,0,4
Falabella,Bci,0,5,1
Falabella,Bci,0,10,1
Falabella,Bci,0,21,1
Falabella,Bci,0,22,1
Falabella,Bci,1,0,2
Falabella,Bci,1,2,1
Falabella,Bci,1,3,1
Falabella,Bci,1,21,1
Falabella,Bci,1,22,1
Falabella,Bci,2,0,4
Falabella,Bci,2,21,1
Falabella,Bci,2,22,1
Falabella,Bci,3,0,4
Falabella,Bci,3,1,2
Falabella,Bci,3,5,2
Falabella,Bci,3,7,1
Falabella,Bci,3,21,2
Falabella,Bci,4,0,5
Falabella,Bci,4,5,1
Falabella,Bci,4,12,1
Falabella,Bci,5,0,4
Falabella,Bci,5,4,1
Falabella,Bci,6,0,4
Falabella,Bci,6,21,1
Falabella,Cardif,0,0,4
Falabella,Cardif,0,5,1
Falabella,Cardif,0,20,2
Falabella,Cardif,0,21,1
Falabella,Cardif,0,22,1
Falabella,Cardif,1,0,3
Falabella,Cardif,1,2,1
Falabella,Cardif,1,17,1
Falabella,Cardif,1,18,1
Falabella,Cardif,1,20,3
Falabella,Cardif,1,21,1
Falabella,Cardif,2,0,4
Falabella,Cardif,2,20,3
Falabella,Cardif,2,22,1
Falabella,Cardif,3,0,4
Falabella,Cardif,3,13,1
Falabella,Cardif,3,20,3
Falabella,Cardif,3,21,1
Falabella,Cardif,4,0,5
Falabella,Cardif,4,5,1
Falabella,Cardif,4,20,3
Falabella,Cardif,5,0,4
Falabella,Cardif,5,1,1
Falabella,Cardif,5,20,2
Falabella,Cardif,6,0,4
Falabella,Cardif,6,20,3
Falabella,Consorcio,0,0,3
Falabella,Consorcio,0,5,1
Falabella,Consorcio,0,11,1
Falabella,Consorcio,0,21,1
Falabella,Consorcio,0,22,1
Falabella,Consorcio,1,0,3
Falabella,Consorcio,1,2,1
Falabella,Consorcio,1,21,1
Falabella,Consorcio,2,0,4
Falabella,Consorcio,2,13,1
Falabella,Consorcio,2,17,1
Falabella,Consorcio,2,21,1
Falabella,Consorcio,3,0,4
Falabella,Consorcio,3,16,1
Falabella,Consorcio,3,21,2
Falabella,Consorcio,4,0,3
Falabella,Consorcio,4,2,1
Falabella,Consorcio,4,10,1
Falabella,Consorcio,4,13,2
Falabella,Consorcio,5,0,4
Falabella,Consorcio,5,1,1
Falabella,Consorcio,5,19,1
Falabella,Consorcio,6,0,3
Falabella,Consorcio,6,21,1
Falabella,Fid,0,0,5
Falabella,Fid,0,1,2
Falabella,Fid,0,2,2
Falabella,Fid,0,3,1
Falabella,Fid,0,4,2
Falabella,Fid,0,5,3
Falabella,Fid,0,6,2
Falabella,Fid,0,7,2
Falabella,Fid,0,8,2
Falabella,Fid,0,12,1
Falabella,Fid,0,16,1
Falabella,Fid,0,18,1
Falabella,Fid,0,21,1
Falabella,Fid,0,22,1
Falabella,Fid,0,23,1
Falabella,Fid,1,0,4
Falabella,Fid,1,1,2
Falabella,Fid,1,2,2
Falabella,Fid,1,3,4
Falabella,Fid,1,4,4
Falabella,Fid,1,5,4
Falabella,Fid,1,6,3
Falabella,Fid,1,7,4
Falabella,Fid,1,8,4
Falabella,Fid,1,21,1
Falabella,Fid,2,0,5
Falabella,Fid,2,1,4
Falabella,Fid,2,2,3
Falabella,Fid,2,3,4
Falabella,Fid,2,4,3
Falabella,Fid,2,5,3
Falabella,Fid,2,6,4
Falabella,Fid,2,7,4
Falabella,Fid,2,8,4
Falabella,Fid,2,21,1
Falabella,Fid,3,0,5
Falabella,Fid,3,1,5
Falabella,Fid,3,2,4
Falabella,Fid,3,3,4
Falabella,Fid,3,4,4
Falabella,Fid,3,5,4
Falabella,Fid,3,6,4
Falabella,Fid,3,7,3
Falabella,Fid,3,8,4
Falabella,Fid,3,13,1
Falabella,Fid,3,21,1
Falabella,Fid,4,0,6
Falabella,Fid,4,1,5
Falabella,Fid,4,2,4
Falabella,Fid,4,3,4
Falabella,Fid,4,4,4
Falabella,Fid,4,5,5
Falabella,Fid,4,6,4
Falabella,Fid,4,7,4
Falabella,Fid,4,8,4
Falabella,Fid,5,0,6
Falabella,Fid,5,1,5
Falabella,Fid,5,2,4
Falabella,Fid,5,3,4
Falabella,Fid,5,4,3
Falabella,Fid,5,5,4
Falabella,Fid,5,6,4
Falabella,Fid,5,7,4
Falabella,Fid,5,8,3
Falabella,Fid,5,9,1
Falabella,Fid,6,0,5
Falabella,Fid,6,1,2
Falabella,Fid,6,2,2
Falabella,Fid,6,3,2
Falabella,Fid,6,4,2
Falabella,Fid,6,5,2
Falabella,Fid,6,6,2
Falabella,Fid,6,7,2
Falabella,Fid,6,8,2
Falabella,Fid,6,21,1
Falabella,Hdi,0,0,4
Falabella,Hdi,0,5,1
Falabella,Hdi,0,19,2
Falabella,Hdi,0,21,1
Falabella,Hdi,0,22,1
Falabella,Hdi,1,0,3
Falabella,Hdi,1,2,1
Falabella,Hdi,1,21,1
Falabella,Hdi,2,0,4
Falabella,Hdi,2,21,1
Falabella,Hdi,3,0,4
Falabella,Hdi,3,21,2
