date,portal,insurer,runs_present,runs_total,presence_pct,below_threshold
2025-08-01,Falabella,Bci,41,44,93.1818,False
2025-08-01,Falabella,Cardif,44,44,100.0,False
2025-08-01,Falabella,Consorcio,44,44,100.0,False
2025-08-01,Falabella,Fid,36,44,81.8182,False
2025-08-01,Falabella,Hdi,44,44,100.0,False
2025-08-01,Falabella,Sura,41,44,93.1818,False
2025-08-01,Falabella,Zenit,43,44,97.7273,False
2025-08-01,Falabella,Zurich,43,44,97.7273,False
2025-08-01,Santander,Consorcio,42,42,100.0,False
2025-08-01,Santander,Fid,37,42,88.0952,False
2025-08-01,Santander,Hdi,38,42,90.4762,False
2025-08-01,Santander,Mapfre,42,42,100.0,False
2025-08-01,Santander,REALE,42,42,100.0,False
2025-08-01,Santander,Sura,42,42,100.0,False
2025-08-01,Santander,ZURICH,41,42,97.619,False
2025-08-01,Santander,Zenit,39,42,92.8571,False
2025-08-02,Falabella,Bci,47,48,97.9167,False
2025-08-02,Falabella,Cardif,48,48,100.0,False
2025-08-02,Falabella,Consorcio,48,48,100.0,False
2025-08-02,Falabella,Fid,35,48,72.9167,True
2025-08-02,Falabella,Hdi,47,48,97.9167,False
2025-08-02,Falabella,Sura,42,48,87.5,False
2025-08-02,Falabella,Zenit,46,48,95.8333,False
2025-08-02,Falabella,Zurich,47,48,97.9167,False
2025-08-02,Santander,Consorcio,48,48,100.0,False
2025-08-02,Santander,Fid,41,48,85.4167,False
2025-08-02,Santander,Hdi,46,48,95.8333,False
2025-08-02,Santander,Mapfre,48,48,100.0,False
2025-08-02,Santander,REALE,48,48,100.0,False
2025-08-02,Santander,Sura,48,48,100.0,False
2025-08-02,Santander,ZURICH,48,48,100.0,False
2025-08-02,Santander,Zenit,47,48,97.9167,False
2025-08-03,Falabella,Bci,44,48,91.6667,False
2025-08-03,Falabella,Cardif,48,48,100.0,False
2025-08-03,Falabella,Consorcio,48,48,100.0,False
2025-08-03,Falabella,Fid,37,48,77.0833,True
2025-08-03,Falabella,Hdi,48,48,100.0,False
2025-08-03,Falabella,Sura,44,48,91.6667,False
2025-08-03,Falabella,Zenit,42,48,87.5,False
2025-08-03,Falabella,Zurich,47,48,97.9167,False
2025-08-03,Santander,Consorcio,48,48,100.0,False
2025-08-03,Santander,Fid,38,48,79.1667,True
2025-08-03,Santander,Hdi,47,48,97.9167,False
2025-08-03,Santander,Mapfre,48,48,100.0,False
2025-08-03,Santander,REALE,48,48,100.0,False
2025-08-03,Santander,Sura,48,48,100.0,False
2025-08-03,Santander,ZURICH,47,48,97.9167,False
2025-08-03,Santander,Zenit,45,48,93.75,False
2025-08-04,Falabella,Bci,47,48,97.9167,False
2025-08-04,Falabella,Cardif,47,48,97.9167,False
2025-08-04,Falabella,Consorcio,48,48,100.0,False
2025-08-04,Falabella,Fid,42,48,87.5,False
2025-08-04,Falabella,Hdi,48,48,100.0,False
2025-08-04,Falabella,Sura,44,48,91.6667,False
2025-08-04,Falabella,Zenit,48,48,100.0,False
2025-08-04,Falabella,Zurich,48,48,100.0,False
2025-08-04,Santander,Consorcio,44,48,91.6667,False
2025-08-04,Santander,Fid,38,48,79.1667,True
2025-08-04,Santander,Hdi,43,48,89.5833,False
2025-08-04,Santander,Mapfre,44,48,91.6667,False
2025-08-04,Santander,REALE,44,48,91.6667,False
2025-08-04,Santander,Sura,46,48,95.8333,False
2025-08-04,Santander,ZURICH,44,48,91.6667,False
2025-08-04,Santander,Zenit,43,48,89.5833,False
2025-08-05,Falabella,Bci,47,48,97.9167,False
2025-08-05,Falabella,Cardif,48,48,100.0,False
2025-08-05,Falabella,Consorcio,46,48,95.8333,False
2025-08-05,Falabella,Fid,32,48,66.6667,True
2025-08-05,Falabella,Hdi,47,48,97.9167,False
2025-08-05,Falabella,Sura,46,48,95.8333,False
2025-08-05,Falabella,Zenit,45,48,93.75,False
2025-08-05,Falabella,Zurich,47,48,97.9167,False
2025-08-05,Santander,Consorcio,44,44,100.0,False
2025-08-05,Santander,Fid,36,44,81.8182,False
2025-08-05,Santander,Hdi,43,44,97.7273,False
2025-08-05,Santander,Mapfre,44,44,100.0,False
2025-08-05,Santander,REALE,42,44,95.4545,False
2025-08-05,Santander,Sura,44,44,100.0,False
2025-08-05,Santander,ZURICH,44,44,100.0,False
2025-08-05,Santander,Zenit,44,44,100.0,False
2025-08-06,Falabella,Bci,43,48,89.5833,False
2025-08-06,Falabella,Cardif,48,48,100.0,False
2025-08-06,Falabella,Consorcio,48,48,100.0,False
2025-08-06,Falabella,Fid,42,48,87.5,False
2025-08-06,Falabella,Hdi,48,48,100.0,False
2025-08-06,Falabella,Sura,48,48,100.0,False
2025-08-06,Falabella,Zenit,43,48,89.5833,False
2025-08-06,Falabella,Zurich,48,48,100.0,False
2025-08-06,Santander,Consorcio,47,48,97.9167,False
2025-08-06,Santander,Fid,40,48,83.3333,False
2025-08-06,Santander,Hdi,47,48,97.9167,False
2025-08-06,Santander,Mapfre,48,48,100.0,False
2025-08-06,Santander,REALE,48,48,100.0,False
2025-08-06,Santander,Sura,48,48,100.0,False
2025-08-06,Santander,ZURICH,46,48,95.8333,False
2025-08-06,Santander,Zenit,45,48,93.75,False
2025-08-07,Falabella,Bci,40,48,83.3333,False
2025-08-07,Falabella,Cardif,47,48,97.9167,False
2025-08-07,Falabella,Consorcio,48,48,100.0,False
2025-08-07,Falabella,Fid,41,48,85.4167,False
2025-08-07,Falabella,Hdi,47,48,97.9167,False
2025-08-07,Falabella,Sura,44,48,91.6667,False
2025-08-07,Falabella,Zenit,41,48,85.4167,False
2025-08-07,Falabella,Zurich,43,48,89.5833,False
