date,portal,insurer,mean,median,std,p10,p90,min_price,max_price,n_obs,cv
2025-08-01,Falabella,Bci,47310.37,47376.0,918.8,47376.0,47988.0,44223.0,47988.0,41,1.9421
2025-08-01,Falabella,Cardif,30932.93,30849.0,551.81,30849.0,30853.0,30849.0,34510.0,44,1.7839
2025-08-01,Falabella,Consorcio,37955.34,37414.0,2219.43,37414.0,41289.0,32429.0,41289.0,44,5.8475
2025-08-01,Falabella,Fid,33151.89,33151.0,1.69,33151.0,33155.0,33151.0,33155.0,36,0.0051
2025-08-01,Falabella,Hdi,35543.7,35869.0,1218.66,35869.0,35873.0,31090.0,35873.0,44,3.4286
2025-08-01,Falabella,Sura,36065.8,34816.0,3191.36,34816.0,41100.0,30178.0,43463.0,41,8.8487
2025-08-01,Falabella,Zenit,43494.81,43532.0,834.77,43532.0,44120.0,40635.0,44120.0,43,1.9192
2025-08-01,Falabella,Zurich,31873.53,32172.0,1104.96,32172.0,32176.0,27886.0,32176.0,43,3.4667
2025-08-01,Santander,Consorcio,41149.57,39136.0,4554.15,39136.0,51211.0,39136.0,51211.0,42,11.0673
2025-08-01,Santander,Fid,42889.22,42888.0,2.17,42888.0,42893.0,42888.0,42893.0,37,0.0051
2025-08-01,Santander,Hdi,38492.95,38492.0,1.72,38492.0,38496.0,38492.0,38496.0,38,0.0045
2025-08-01,Santander,Mapfre,37860.07,37859.0,2.08,37859.0,37864.0,37859.0,37864.0,42,0.0055
2025-08-01,Santander,REALE,37294.86,37294.0,1.66,37294.0,37298.0,37294.0,37298.0,42,0.0045
2025-08-01,Santander,Sura,30892.86,30892.0,1.66,30892.0,30896.0,30892.0,30896.0,42,0.0054
2025-08-01,Santander,ZURICH,32836.1,32835.0,2.1,32835.0,32840.0,32835.0,32840.0,41,0.0064
2025-08-01,Santander,Zenit,28439.92,28439.0,1.71,28439.0,28443.0,28439.0,28443.0,39,0.006
2025-08-02,Falabella,Bci,47969.91,47963.0,11.3,47963.0,47988.0,47963.0,47988.0,47,0.0236
2025-08-02,Falabella,Cardif,34111.04,34487.0,1124.14,33395.6,34505.0,30849.0,34505.0,48,3.2955
2025-08-02,Falabella,Consorcio,41330.54,41268.0,393.17,41268.0,41289.0,41268.0,43997.0,48,0.9513
2025-08-02,Falabella,Fid,33138.86,33134.0,7.79,33134.0,33151.0,33134.0,33151.0,35,0.0235
2025-08-02,Falabella,Hdi,35855.26,35850.0,8.59,35850.0,35869.0,35850.0,35869.0,47,0.024
2025-08-02,Falabella,Sura,35603.9,34798.0,2293.52,34798.0,36765.4,34798.0,44807.0,42,6.4418
2025-08-02,Falabella,Zenit,44103.0,44097.0,10.21,44097.0,44120.0,44097.0,44120.0,46,0.0232
2025-08-02,Falabella,Zurich,32159.7,32155.0,7.69,32155.0,32172.0,32155.0,32172.0,47,0.0239
2025-08-02,Santander,Consorcio,51296.77,51204.0,629.33,51204.0,51211.0,51204.0,55566.0,48,1.2268
2025-08-02,Santander,Fid,42883.61,42882.0,2.69,42882.0,42888.0,42882.0,42888.0,41,0.0063
2025-08-02,Santander,Hdi,38488.41,38487.0,2.28,38487.0,38492.0,38487.0,38492.0,46,0.0059
2025-08-02,Santander,Mapfre,37855.35,37854.0,2.25,37854.0,37859.0,37854.0,37859.0,48,0.0059
2025-08-02,Santander,REALE,37290.35,37289.0,2.25,37289.0,37294.0,37289.0,37294.0,48,0.006
2025-08-02,Santander,Sura,30889.08,30888.0,1.8,30888.0,30892.0,30888.0,30892.0,48,0.0058
2025-08-02,Santander,ZURICH,32832.08,32831.0,1.8,32831.0,32835.0,32831.0,32835.0,48,0.0055
2025-08-02,Santander,Zenit,28436.83,28436.0,1.36,28436.0,28439.0,28436.0,28439.0,47,0.0048
2025-08-03,Falabella,Bci,47972.75,47976.0,5.69,47963.0,47976.0,47963.0,47976.0,44,0.0119
2025-08-03,Falabella,Cardif,34493.56,34496.0,4.04,34487.0,34496.0,34487.0,34496.0,48,0.0117
2025-08-03,Falabella,Consorcio,41276.02,41279.0,4.94,41268.0,41279.0,41268.0,41279.0,48,0.012
2025-08-03,Falabella,Fid,33140.27,33142.0,3.34,33134.0,33142.0,33134.0,33142.0,37,0.0101
2025-08-03,Falabella,Hdi,35856.56,35859.0,4.04,35850.0,35859.0,35850.0,35859.0,48,0.0113
2025-08-03,Falabella,Sura,35796.93,34807.0,2102.87,34798.0,39120.4,34798.0,44402.0,44,5.8744
2025-08-03,Falabella,Zenit,44105.12,44108.0,4.9,44097.0,44108.0,44097.0,44108.0,42,0.0111
2025-08-03,Falabella,Zurich,32160.79,32163.0,3.62,32155.0,32163.0,32155.0,32163.0,47,0.0113
2025-08-03,Santander,Consorcio,51199.62,51198.0,2.69,51198.0,51204.0,51198.0,51204.0,48,0.0053
2025-08-03,Santander,Fid,42878.18,42877.0,2.15,42877.0,42882.0,42877.0,42882.0,38,0.005
2025-08-03,Santander,Hdi,38483.28,38482.0,2.2,38482.0,38487.0,38482.0,38487.0,47,0.0057
2025-08-03,Santander,Mapfre,37850.35,37849.0,2.25,37849.0,37854.0,37849.0,37854.0,48,0.0059
2025-08-03,Santander,REALE,37285.35,37284.0,2.25,37284.0,37289.0,37284.0,37289.0,48,0.006
2025-08-03,Santander,Sura,30885.08,30884.0,1.8,30884.0,30888.0,30884.0,30888.0,48,0.0058
2025-08-03,Santander,ZURICH,32828.02,32827.0,1.76,32827.0,32831.0,32827.0,32831.0,47,0.0054
2025-08-03,Santander,Zenit,28433.07,28432.0,1.79,28432.0,28436.0,28432.0,28436.0,45,0.0063
2025-08-04,Falabella,Bci,48158.45,47976.0,275.84,47969.0,48557.0,47969.0,48557.0,47,0.5728
2025-08-04,Falabella,Cardif,34493.11,34492.0,1.81,34492.0,34496.0,34492.0,34496.0,47,0.0052
2025-08-04,Falabella,Consorcio,41274.62,41273.0,2.69,41273.0,41279.0,41273.0,41279.0,48,0.0065
2025-08-04,Falabella,Fid,33139.14,33138.0,1.83,33138.0,33142.0,33138.0,33142.0,42,0.0055
2025-08-04,Falabella,Hdi,35856.08,35855.0,1.8,35855.0,35859.0,35855.0,35859.0,48,0.005
2025-08-04,Falabella,Sura,35962.64,34807.0,2546.66,34802.0,39337.3,34802.0,44568.0,44,7.0814
2025-08-04,Falabella,Zenit,44272.48,44108.0,251.09,44103.0,44641.0,44103.0,44641.0,48,0.5671
2025-08-04,Falabella,Zurich,32160.08,32159.0,1.8,32159.0,32163.0,32159.0,32163.0,48,0.0056
2025-08-04,Santander,Consorcio,51193.07,51191.0,3.23,51191.0,51198.0,51191.0,51198.0,44,0.0063
2025-08-04,Santander,Fid,42872.74,42871.0,2.76,42871.0,42877.0,42871.0,42877.0,38,0.0064
2025-08-04,Santander,Hdi,38478.4,38477.0,2.27,38477.0,38482.0,38477.0,38482.0,43,0.0059
2025-08-04,Santander,Mapfre,37845.48,37844.0,2.31,37844.0,37849.0,37844.0,37849.0,44,0.0061
2025-08-04,Santander,REALE,37280.48,37279.0,2.31,37279.0,37284.0,37279.0,37284.0,44,0.0062
2025-08-04,Santander,Sura,30881.13,30880.0,1.82,30880.0,30884.0,30880.0,30884.0,46,0.0059
2025-08-04,Santander,ZURICH,32824.18,32823.0,1.85,32823.0,32827.0,32823.0,32827.0,44,0.0056
2025-08-04,Santander,Zenit,27723.86,28428.0,975.99,26406.0,28432.0,26406.0,28432.0,43,3.5204
2025-08-05,Falabella,Bci,48552.66,48551.0,2.71,48551.0,48557.0,48551.0,48557.0,47,0.0056
2025-08-05,Falabella,Cardif,34488.35,34487.0,2.25,34487.0,34492.0,34487.0,34492.0,48,0.0065
2025-08-05,Falabella,Consorcio,41269.41,41268.0,2.28,41268.0,41273.0,41268.0,41273.0,46,0.0055
2025-08-05,Falabella,Fid,33135.0,33134.0,1.76,33134.0,33138.0,33134.0,33138.0,32,0.0053
2025-08-05,Falabella,Hdi,37934.98,37979.0,310.0,37979.0,37984.0,35855.0,37984.0,47,0.8172
2025-08-05,Falabella,Sura,35955.24,34802.0,2421.68,34798.0,39940.5,34798.0,43926.0,46,6.7353
2025-08-05,Falabella,Zenit,44636.6,44635.0,2.68,44635.0,44641.0,44635.0,44641.0,45,0.006
2025-08-05,Falabella,Zurich,32156.11,32155.0,1.81,32155.0,32159.0,32155.0,32159.0,47,0.0056
2025-08-05,Santander,Consorcio,51185.75,51184.0,3.07,51184.0,51191.0,51184.0,51191.0,44,0.006
2025-08-05,Santander,Fid,42866.33,42865.0,2.53,42865.0,42871.0,42865.0,42871.0,36,0.0059
2025-08-05,Santander,Hdi,38473.28,38472.0,2.21,38472.0,38477.0,38472.0,38477.0,43,0.0057
2025-08-05,Santander,Mapfre,37840.25,37839.0,2.19,37839.0,37844.0,37839.0,37844.0,44,0.0058
2025-08-05,Santander,REALE,37275.31,37274.0,2.23,37274.0,37279.0,37274.0,37279.0,42,0.006
2025-08-05,Santander,Sura,30877.0,30876.0,1.75,30876.0,30880.0,30876.0,30880.0,44,0.0057
2025-08-05,Santander,ZURICH,32819.25,32818.0,2.19,32818.0,32823.0,32818.0,32823.0,44,0.0067
2025-08-05,Santander,Zenit,26403.75,26403.0,1.31,26403.0,26406.0,26403.0,26406.0,44,0.005
2025-08-06,Falabella,Bci,48545.79,48544.0,3.09,48544.0,48551.0,48544.0,48551.0,43,0.0064
2025-08-06,Falabella,Cardif,31210.71,30829.0,1129.03,30829.0,31929.2,30829.0,34487.0,48,3.6174
2025-08-06,Falabella,Consorcio,41264.35,41263.0,2.25,41263.0,41268.0,41263.0,41268.0,48,0.0055
2025-08-06,Falabella,Fid,33131.05,33130.0,1.78,33130.0,33134.0,33130.0,33134.0,42,0.0054
2025-08-06,Falabella,Hdi,37975.35,37974.0,2.25,37974.0,37979.0,37974.0,37979.0,48,0.0059
2025-08-06,Falabella,Sura,35922.5,34798.0,2279.17,34793.0,40188.6,34793.0,42648.0,48,6.3447
2025-08-06,Falabella,Zenit,44630.53,44629.0,2.65,44629.0,44635.0,44629.0,44635.0,43,0.0059
2025-08-06,Falabella,Zurich,32152.08,32151.0,1.8,32151.0,32155.0,32151.0,32155.0,48,0.0056
2025-08-06,Santander,Consorcio,51179.66,51178.0,2.71,51178.0,51184.0,51178.0,51184.0,47,0.0053
2025-08-06,Santander,Fid,42861.25,42860.0,2.19,42860.0,42865.0,42860.0,42865.0,40,0.0051
2025-08-06,Santander,Hdi,38468.38,38467.0,2.26,38467.0,38472.0,38467.0,38472.0,47,0.0059
2025-08-06,Santander,Mapfre,37835.35,37834.0,2.25,37834.0,37839.0,37834.0,37839.0,48,0.0059
2025-08-06,Santander,REALE,37270.35,37269.0,2.25,37269.0,37274.0,37269.0,37274.0,48,0.006
2025-08-06,Santander,Sura,30873.08,30872.0,1.8,30872.0,30876.0,30872.0,30876.0,48,0.0058
2025-08-06,Santander,ZURICH,32815.04,32814.0,1.78,32814.0,32818.0,32814.0,32818.0,46,0.0054
2025-08-06,Santander,Zenit,26400.07,26399.0,1.79,26399.0,26403.0,26399.0,26403.0,45,0.0068
2025-08-07,Falabella,Bci,47609.42,48538.0,1748.23,44403.0,48544.0,44403.0,48544.0,40,3.672
2025-08-07,Falabella,Cardif,34168.3,34478.0,1029.49,34478.0,34483.0,30829.0,34483.0,47,3.013
2025-08-07,Falabella,Consorcio,41258.62,41257.0,2.69,41257.0,41263.0,41257.0,41263.0,48,0.0065
2025-08-07,Falabella,Fid,33126.34,33125.0,2.24,33125.0,33130.0,33125.0,33130.0,41,0.0068
2025-08-07,Falabella,Hdi,37970.28,37969.0,2.2,37969.0,37974.0,37969.0,37974.0,47,0.0058
2025-08-07,Falabella,Sura,36045.95,34789.0,2589.59,34789.0,40831.5,34789.0,43057.0,44,7.1841
2025-08-07,Falabella,Zenit,43755.39,44624.0,1660.9,40660.0,44629.0,40660.0,44629.0,41,3.7959
2025-08-07,Falabella,Zurich,32148.21,32147.0,1.86,32147.0,32151.0,32147.0,32151.0,43,0.0058
2025-08-07,Santander,Consorcio,51172.79,51171.0,3.09,51171.0,51178.0,51171.0,51178.0,47,0.006
2025-08-07,Santander,Fid,42855.65,42854.0,2.71,42854.0,42860.0,42854.0,42860.0,40,0.0063
2025-08-07,Santander,Hdi,38463.3,38462.0,2.22,38462.0,38467.0,38462.0,38467.0,46,0.0058
2025-08-07,Santander,Mapfre,37830.35,37829.0,2.25,37829.0,37834.0,37829.0,37834.0,48,0.0059
2025-08-07,Santander,REALE,37266.08,37265.0,1.8,37265.0,37269.0,37265.0,37269.0,48,0.0048
2025-08-07,Santander,Sura,30869.08,30868.0,1.8,30868.0,30872.0,30868.0,30872.0,48,0.0058
2025-08-07,Santander,ZURICH,32811.07,32810.0,1.79,32810.0,32814.0,32810.0,32814.0,45,0.0055
2025-08-07,Santander,Zenit,26396.75,26396.0,1.32,26396.0,26399.0,26396.0,26399.0,36,0.005
2025-08-08,Falabella,Bci,48533.73,48532.0,2.75,48532.0,48538.0,48532.0,48538.0,45,0.0057
2025-08-08,Falabella,Cardif,34475.08,34474.0,1.8,34474.0,34478.0,34474.0,34478.0,48,0.0052
2025-08-08,Falabella,Consorcio,41253.35,41252.0,2.25,41252.0,41257.0,41252.0,41257.0,48,0.0055
2025-08-08,Falabella,Fid,33122.09,33121.0,1.8,33121.0,33125.0,33121.0,33125.0,44,0.0054
2025-08-08,Falabella,Hdi,37965.35,37964.0,2.25,37964.0,37969.0,37964.0,37969.0,48,0.0059
2025-08-08,Falabella,Sura,35537.75,34789.0,2495.87,33806.0,38069.3,33806.0,44593.0,48,7.0232
2025-08-08,Falabella,Zenit,44619.62,44618.0,2.69,44618.0,44624.0,44618.0,44624.0,48,0.006
2025-08-08,Falabella,Zurich,32144.08,32143.0,1.8,32143.0,32147.0,32143.0,32147.0,48,0.0056
2025-08-08,Santander,Consorcio,51166.9,51165.0,2.83,51165.0,51171.0,51165.0,51171.0,41,0.0055
2025-08-08,Santander,Fid,42850.59,42849.0,2.36,42849.0,42854.0,42849.0,42854.0,41,0.0055
2025-08-08,Santander,Hdi,38458.59,38457.0,2.36,38457.0,38462.0,38457.0,38462.0,41,0.0061
2025-08-08,Santander,Mapfre,37825.5,37824.0,2.32,37824.0,37829.0,37824.0,37829.0,40,0.0061
2025-08-08,Santander,REALE,37261.54,37260.0,2.34,37260.0,37265.0,37260.0,37265.0,39,0.0063
2025-08-08,Santander,Sura,29876.74,30864.0,2092.58,25551.0,30868.0,25551.0,30868.0,43,7.004
2025-08-08,Santander,ZURICH,32807.27,32806.0,1.88,32806.0,32810.0,32806.0,32810.0,41,0.0057
2025-08-08,Santander,Zenit,26393.3,26392.0,1.9,26392.0,26396.0,26392.0,26396.0,40,0.0072
2025-08-09,Falabella,Bci,48526.6,48525.0,2.98,48525.0,48532.0,48525.0,48532.0,35,0.0061
2025-08-09,Falabella,Cardif,35141.32,35220.0,232.74,34921.6,35224.0,34474.0,35224.0,47,0.6623
2025-08-09,Falabella,Consorcio,41248.35,41247.0,2.25,41247.0,41252.0,41247.0,41252.0,48,0.0055
2025-08-09,Falabella,Fid,33118.13,33117.0,1.82,33117.0,33121.0,33117.0,33121.0,46,0.0055
2025-08-09,Falabella,Hdi,37960.67,37959.0,2.39,37959.0,37964.0,37959.0,37964.0,39,0.0063
2025-08-09,Falabella,Sura,34909.11,33806.0,2235.49,33802.0,39207.0,33802.0,41555.0,46,6.4037
2025-08-09,Falabella,Zenit,44613.5,44612.0,2.63,44612.0,44618.0,44612.0,44618.0,36,0.0059
2025-08-09,Falabella,Zurich,32139.38,32138.0,2.26,32138.0,32143.0,32138.0,32143.0,47,0.007
2025-08-09,Santander,Consorcio,51252.66,51158.0,635.4,51158.0,51165.0,51158.0,55516.0,47,1.2397
2025-08-09,Santander,Fid,42844.64,42843.0,2.7,42843.0,42849.0,42843.0,42849.0,44,0.0063
2025-08-09,Santander,Hdi,38453.67,38452.0,2.39,38452.0,38457.0,38452.0,38457.0,39,0.0062
2025-08-09,Santander,Mapfre,37821.11,37820.0,1.81,37820.0,37824.0,37820.0,37824.0,47,0.0048
2025-08-09,Santander,REALE,37256.38,37255.0,2.26,37255.0,37260.0,37255.0,37260.0,47,0.0061
2025-08-09,Santander,Sura,25548.85,25548.0,1.37,25548.0,25551.0,25548.0,25551.0,46,0.0054
2025-08-09,Santander,ZURICH,32802.38,32801.0,2.26,32801.0,32806.0,32801.0,32806.0,47,0.0069
2025-08-09,Santander,Zenit,26389.77,26389.0,1.33,26389.0,26392.0,26389.0,26392.0,35,0.005
2025-08-10,Falabella,Bci,48536.59,48540.0,6.36,48525.0,48540.0,48525.0,48540.0,44,0.0131
2025-08-10,Falabella,Cardif,34555.42,34480.0,229.05,34470.0,34702.0,34470.0,35220.0,48,0.6628
2025-08-10,Falabella,Consorcio,41255.68,41259.0,5.43,41247.0,41259.0,41247.0,41259.0,47,0.0132
2025-08-10,Falabella,Fid,33123.85,33126.0,3.88,33117.0,33126.0,33117.0,33126.0,46,0.0117
