date,portal,insurer,wins,appearances,win_rate,window
2025-08-01,Falabella,Bci,0,41,0.0,1d
2025-08-01,Falabella,Cardif,41,44,93.1818,1d
2025-08-01,Falabella,Consorcio,0,44,0.0,1d
2025-08-01,Falabella,Fid,0,36,0.0,1d
2025-08-01,Falabella,Hdi,0,44,0.0,1d
2025-08-01,Falabella,Sura,0,41,0.0,1d
2025-08-01,Falabella,Zenit,0,43,0.0,1d
2025-08-01,Falabella,Zurich,3,43,6.9767,1d
2025-08-01,Santander,Consorcio,0,42,0.0,1d
2025-08-01,Santander,Fid,0,37,0.0,1d
2025-08-01,Santander,Hdi,0,38,0.0,1d
2025-08-01,Santander,Mapfre,0,42,0.0,1d
2025-08-01,Santander,REALE,0,42,0.0,1d
2025-08-01,Santander,Sura,3,42,7.1429,1d
2025-08-01,Santander,ZURICH,0,41,0.0,1d
2025-08-01,Santander,Zenit,39,39,100.0,1d
2025-08-02,Falabella,Bci,0,47,0.0,1d
2025-08-02,Falabella,Cardif,5,48,10.4167,1d
2025-08-02,Falabella,Consorcio,0,48,0.0,1d
2025-08-02,Falabella,Fid,1,35,2.8571,1d
2025-08-02,Falabella,Hdi,0,47,0.0,1d
2025-08-02,Falabella,Sura,0,42,0.0,1d
2025-08-02,Falabella,Zenit,0,46,0.0,1d
2025-08-02,Falabella,Zurich,42,47,89.3617,1d
2025-08-02,Santander,Consorcio,0,48,0.0,1d
2025-08-02,Santander,Fid,0,41,0.0,1d
2025-08-02,Santander,Hdi,0,46,0.0,1d
2025-08-02,Santander,Mapfre,0,48,0.0,1d
2025-08-02,Santander,REALE,0,48,0.0,1d
2025-08-02,Santander,Sura,1,48,2.0833,1d
2025-08-02,Santander,ZURICH,0,48,0.0,1d
2025-08-02,Santander,Zenit,47,47,100.0,1d
2025-08-03,Falabella,Bci,0,44,0.0,1d
2025-08-03,Falabella,Cardif,1,48,2.0833,1d
2025-08-03,Falabella,Consorcio,0,48,0.0,1d
2025-08-03,Falabella,Fid,0,37,0.0,1d
2025-08-03,Falabella,Hdi,0,48,0.0,1d
2025-08-03,Falabella,Sura,0,44,0.0,1d
2025-08-03,Falabella,Zenit,0,42,0.0,1d
2025-08-03,Falabella,Zurich,47,47,100.0,1d
2025-08-03,Santander,Consorcio,0,48,0.0,1d
2025-08-03,Santander,Fid,0,38,0.0,1d
2025-08-03,Santander,Hdi,0,47,0.0,1d
2025-08-03,Santander,Mapfre,0,48,0.0,1d
2025-08-03,Santander,REALE,0,48,0.0,1d
2025-08-03,Santander,Sura,3,48,6.25,1d
2025-08-03,Santander,ZURICH,0,47,0.0,1d
2025-08-03,Santander,Zenit,45,45,100.0,1d
2025-08-04,Falabella,Bci,0,47,0.0,1d
2025-08-04,Falabella,Cardif,0,47,0.0,1d
2025-08-04,Falabella,Consorcio,0,48,0.0,1d
2025-08-04,Falabella,Fid,0,42,0.0,1d
2025-08-04,Falabella,Hdi,0,48,0.0,1d
2025-08-04,Falabella,Sura,0,44,0.0,1d
2025-08-04,Falabella,Zenit,0,48,0.0,1d
2025-08-04,Falabella,Zurich,48,48,100.0,1d
2025-08-04,Santander,Consorcio,0,44,0.0,1d
2025-08-04,Santander,Fid,0,38,0.0,1d
2025-08-04,Santander,Hdi,0,43,0.0,1d
2025-08-04,Santander,Mapfre,0,44,0.0,1d
