change_id,run_id,portal,insurer,scraped_at,prev_scraped_at,prev_price,price,abs_change,pct_change,direction,severity
0,4,Falabella,Bci,2025-08-01 03:30:02,2025-08-01 03:00:02,44223.0,47382.0,3159.0,7.1433,up,info
1,10,Falabella,Bci,2025-08-01 06:30:01,2025-08-01 06:00:01,47382.0,47376.0,-6.0,-0.0127,down,info
2,31,Falabella,Bci,2025-08-01 18:00:02,2025-08-01 17:30:02,47376.0,47988.0,612.0,1.2918,up,info
3,55,Falabella,Bci,2025-08-02 06:30:01,2025-08-02 06:00:02,47988.0,47963.0,-25.0,-0.0521,down,info
4,100,Falabella,Bci,2025-08-03 06:30:01,2025-08-03 05:00:02,47963.0,47976.0,13.0,0.0271,up,info
5,145,Falabella,Bci,2025-08-04 06:30:01,2025-08-04 06:00:01,47976.0,47969.0,-7.0,-0.0146,down,info
6,165,Falabella,Bci,2025-08-04 16:30:01,2025-08-04 16:00:01,47969.0,48557.0,588.0,1.2258,up,info
7,193,Falabella,Bci,2025-08-05 06:30:01,2025-08-05 06:00:01,48557.0,48551.0,-6.0,-0.0124,down,info
8,238,Falabella,Bci,2025-08-06 06:30:01,2025-08-06 06:00:01,48551.0,48544.0,-7.0,-0.0144,down,info
9,278,Falabella,Bci,2025-08-07 04:30:01,2025-08-07 03:30:01,48544.0,44409.0,-4135.0,-8.518,down,info
10,282,Falabella,Bci,2025-08-07 06:30:02,2025-08-07 06:00:02,44409.0,44403.0,-6.0,-0.0135,down,info
11,283,Falabella,Bci,2025-08-07 07:00:02,2025-08-07 06:30:02,44403.0,48538.0,4135.0,9.3124,up,info
12,284,Falabella,Bci,2025-08-07 07:30:01,2025-08-07 07:00:02,48538.0,44403.0,-4135.0,-8.5191,down,info
13,286,Falabella,Bci,2025-08-07 11:00:02,2025-08-07 08:00:01,44403.0,48538.0,4135.0,9.3124,up,info
14,287,Falabella,Bci,2025-08-07 11:30:02,2025-08-07 11:00:02,48538.0,44403.0,-4135.0,-8.5191,down,info
15,289,Falabella,Bci,2025-08-07 13:00:02,2025-08-07 12:30:01,44403.0,48538.0,4135.0,9.3124,up,info
16,323,Falabella,Bci,2025-08-08 06:30:02,2025-08-08 06:00:02,48538.0,48532.0,-6.0,-0.0124,down,info
