run_id,portal,scraped_at,insurers_returned,rows,status
1,Falabella,2025-07-31 20:00:02,8,8,success
2,Falabella,2025-07-31 20:30:02,8,8,success
3,Falabella,2025-07-31 21:00:02,7,7,success
4,Falabella,2025-07-31 21:30:02,8,8,success
5,Falabella,2025-07-31 22:00:02,8,8,success
6,Falabella,2025-07-31 22:30:01,8,8,success
7,Falabella,2025-07-31 23:00:01,8,8,success
8,Falabella,2025-07-31 23:30:01,8,8,success
9,Falabella,2025-08-01 00:00:01,8,8,success
10,Falabella,2025-08-01 00:30:01,7,7,success
11,Falabella,2025-08-01 01:00:01,8,8,success
12,Falabella,2025-08-01 01:30:01,8,8,success
13,Falabella,2025-08-01 02:00:01,8,8,success
14,Falabella,2025-08-01 02:30:01,8,8,success
15,Falabella,2025-08-01 03:00:02,8,8,success
16,Falabella,2025-08-01 03:30:02,7,7,success
17,Falabella,2025-08-01 04:00:02,8,8,success
18,Falabella,2025-08-01 04:30:02,7,7,success
19,Falabella,2025-08-01 05:00:02,7,7,success
20,Falabella,2025-08-01 05:30:01,8,8,success
21,Falabella,2025-08-01 06:00:01,8,8,success
22,Falabella,2025-08-01 06:30:01,6,6,success
23,Falabella,2025-08-01 07:00:01,8,8,success
24,Falabella,2025-08-01 07:30:01,8,8,success
25,Falabella,2025-08-01 08:00:01,7,7,success
26,Falabella,2025-08-01 08:30:02,7,7,success
27,Falabella,2025-08-01 09:00:02,8,8,success
28,Falabella,2025-08-01 09:30:02,8,8,success
29,Falabella,2025-08-01 10:00:02,8,8,success
30,Falabella,2025-08-01 10:30:02,8,8,success
31,Falabella,2025-08-01 11:00:02,8,8,success
32,Falabella,2025-08-01 11:30:02,8,8,success
33,Falabella,2025-08-01 12:00:02,7,7,success
34,Falabella,2025-08-01 12:30:02,7,7,success
35,Falabella,2025-08-01 13:00:02,7,7,success
36,Falabella,2025-08-01 13:30:01,8,8,success
37,Falabella,2025-08-01 14:00:01,7,7,success
38,Falabella,2025-08-01 14:30:01,8,8,success
39,Falabella,2025-08-01 15:00:01,8,8,success
40,Falabella,2025-08-01 15:30:01,7,7,success
41,Falabella,2025-08-01 16:00:01,8,8,success
42,Falabella,2025-08-01 16:30:02,7,7,success
43,Falabella,2025-08-01 17:00:02,7,7,success
44,Falabella,2025-08-01 17:30:02,8,8,success
45,Falabella,2025-08-01 18:00:05,8,8,success
46,Falabella,2025-08-01 18:30:01,8,8,success
47,Falabella,2025-08-01 19:00:01,8,8,success
48,Falabella,2025-08-01 19:30:01,7,7,success
49,Falabella,2025-08-01 20:00:01,7,7,success
50,Falabella,2025-08-01 20:30:01,6,6,success
51,Falabella,2025-08-01 21:00:01,8,8,success
52,Falabella,2025-08-01 21:30:02,8,8,success
53,Falabella,2025-08-01 22:00:02,7,7,success
54,Falabella,2025-08-01 22:30:02,8,8,success
55,Falabella,2025-08-01 23:00:02,8,8,success
56,Falabella,2025-08-01 23:30:02,8,8,success
57,Falabella,2025-08-02 00:00:02,8,8,success
58,Falabella,2025-08-02 00:30:01,6,6,success
59,Falabella,2025-08-02 01:00:01,7,7,success
60,Falabella,2025-08-02 01:30:02,8,8,success
61,Falabella,2025-08-02 02:00:01,8,8,success
62,Falabella,2025-08-02 02:30:01,7,7,success
63,Falabella,2025-08-02 03:00:01,7,7,success
64,Falabella,2025-08-02 03:30:01,6,6,success
65,Falabella,2025-08-02 04:00:01,7,7,success
66,Falabella,2025-08-02 04:30:01,6,6,success
67,Falabella,2025-08-02 05:00:01,7,7,success
68,Falabella,2025-08-02 05:30:01,8,8,success
69,Falabella,2025-08-02 06:00:02,7,7,success
70,Falabella,2025-08-02 06:30:02,7,7,success
71,Falabella,2025-08-02 07:00:02,8,8,success
72,Falabella,2025-08-02 07:30:02,8,8,success
73,Falabella,2025-08-02 08:00:01,6,6,success
74,Falabella,2025-08-02 08:30:01,8,8,success
75,Falabella,2025-08-02 09:00:01,7,7,success
76,Falabella,2025-08-02 09:30:01,8,8,success
77,Falabella,2025-08-02 10:00:01,8,8,success
78,Falabella,2025-08-02 10:30:01,7,7,success
79,Falabella,2025-08-02 11:00:01,8,8,success
80,Falabella,2025-08-02 11:30:01,7,7,success
81,Falabella,2025-08-02 12:00:01,8,8,success
82,Falabella,2025-08-02 12:30:01,8,8,success
83,Falabella,2025-08-02 13:00:02,8,8,success
84,Falabella,2025-08-02 13:30:02,8,8,success
85,Falabella,2025-08-02 14:00:02,8,8,success
86,Falabella,2025-08-02 14:30:02,8,8,success
87,Falabella,2025-08-02 15:00:02,8,8,success
88,Falabella,2025-08-02 15:30:02,8,8,success
89,Falabella,2025-08-02 16:00:01,7,7,success
90,Falabella,2025-08-02 16:30:01,8,8,success
91,Falabella,2025-08-02 17:00:01,8,8,success
92,Falabella,2025-08-02 17:30:01,8,8,success
93,Falabella,2025-08-02 18:00:04,7,7,success
94,Falabella,2025-08-02 18:30:02,8,8,success
95,Falabella,2025-08-02 19:00:02,8,8,success
96,Falabella,2025-08-02 19:30:02,7,7,success
97,Falabella,2025-08-02 20:00:02,7,7,success
98,Falabella,2025-08-02 20:30:02,7,7,success
99,Falabella,2025-08-02 21:00:02,7,7,success
100,Falabella,2025-08-02 21:30:02,8,8,success
101,Falabella,2025-08-02 22:00:02,8,8,success
102,Falabella,2025-08-02 22:30:02,8,8,success
103,Falabella,2025-08-02 23:00:02,7,7,success
104,Falabella,2025-08-02 23:30:02,6,6,success
105,Falabella,2025-08-03 00:00:01,6,6,success
106,Falabella,2025-08-03 00:30:01,8,8,success
107,Falabella,2025-08-03 01:00:01,6,6,success
108,Falabella,2025-08-03 01:30:01,8,8,success
109,Falabella,2025-08-03 02:00:01,7,7,success
110,Falabella,2025-08-03 02:30:01,4,4,success
111,Falabella,2025-08-03 03:00:02,8,8,success
112,Falabella,2025-08-03 03:30:02,7,7,success
113,Falabella,2025-08-03 04:00:02,7,7,success
114,Falabella,2025-08-03 04:30:02,8,8,success
115,Falabella,2025-08-03 05:00:02,8,8,success
116,Falabella,2025-08-03 05:30:02,8,8,success
117,Falabella,2025-08-03 06:00:02,8,8,success
118,Falabella,2025-08-03 06:30:01,7,7,success
119,Falabella,2025-08-03 07:00:01,8,8,success
120,Falabella,2025-08-03 07:30:01,7,7,success
121,Falabella,2025-08-03 08:00:01,8,8,success
122,Falabella,2025-08-03 08:30:01,8,8,success
